session_id_group,session_start_url,num_total_events,num_page_visits,num_clicks,num_mouse_moves,num_mouse_moves_to_element,num_errors,session_duration_seconds,avg_time_between_clicks,total_mouse_dist_approx,avg_mouse_speed_approx,num_unique_element_tags,entropy_element_tags,num_a_tags_interacted,num_button_tags_interacted,num_input_tags_interacted,num_unique_urls_in_session,navigated_away_from_start_url,num_error_click_intercepted,num_error_no_clickables_found,num_error_http_read_timeout,net_total_requests_logged,net_num_get_requests,net_num_post_requests,net_num_put_requests,net_num_delete_requests,net_num_options_requests,net_num_head_requests,net_num_third_party_requests,net_num_first_party_requests,net_ratio_third_party_requests,net_num_unique_third_party_domains,net_num_post_to_third_party,net_num_body_to_third_party,net_num_suspicious_get_beacons_approx,net_num_2xx_responses,net_num_3xx_responses,net_num_4xx_responses,net_num_5xx_responses,net_num_json_responses,net_num_html_responses,net_num_javascript_responses,net_num_requests_with_referer,net_num_distinct_referers,net_num_cross_origin_referer
22,https://panlasangpinoy.com/stuffed-eggplant-relyenong-talong-recipe/,3,1,1,0,1,0,46.338,0.0,0.0,0.0,2,0.6931471805599453,1,0,0,2,1,0.0,0.0,0.0,294,108,186,0,0,0,0,294,0,1.0,36,186,294,83,279,14,1,0,134,61,21,294,12,63
23,https://panlasangpinoy.com/categories/recipes/fish-recipes-recipes/,3,1,1,0,1,0,33.15,0.0,0.0,0.0,1,0.0,0,0,2,1,0,0.0,0.0,0.0,145,71,74,0,0,0,0,145,0,1.0,32,74,145,52,128,15,2,0,58,35,15,145,11,41
24,https://panlasangpinoy.com/fish-stew-paksiw-na-isda-sa-gata/,8,1,1,1,3,2,59.262,0.0,1337.522243905358,22.569644019866995,1,0.0,4,0,0,1,0,2.0,0.0,0.0,323,103,220,0,0,0,0,323,0,1.0,32,220,323,81,304,17,2,0,161,50,24,323,11,49
25,https://panlasangpinoy.com/filipino-paksiw-recipe/,5,1,2,0,2,0,61.07,16.464,812.4678455175934,13.303878262937506,2,0.6931471805599453,2,0,0,2,1,0.0,0.0,0.0,107,35,72,0,0,0,0,107,0,1.0,21,72,107,30,103,3,1,0,65,1,17,107,2,4
26,https://panlasangpinoy.com/sweet-and-sour-fish-fillet/,3,1,0,0,1,1,35.298,0.0,0.0,0.0,1,0.0,1,0,0,1,0,1.0,0.0,0.0,387,109,278,0,0,0,0,387,0,1.0,31,278,387,92,380,6,1,0,218,44,26,387,10,34
27,https://panlasangpinoy.com/categories/recipes/dessert-and-pastry-recipes/,5,1,2,0,2,0,98.36,55.725,139.2569567382542,1.4157884987622429,2,0.6931471805599453,2,0,0,3,1,0.0,0.0,0.0,138,66,72,0,0,0,0,138,0,1.0,33,72,138,49,122,15,1,0,57,28,13,138,10,33
28,https://www.seriouseats.com/lazy-daisy-cake-recipe-11734164,3,1,0,0,1,1,36.586,0.0,0.0,0.0,1,0.0,1,0,0,1,0,1.0,0.0,0.0,23,19,4,0,0,0,0,23,0,1.0,14,4,23,11,18,4,1,0,8,3,4,23,5,6
29,https://www.seriouseats.com/doughnut-muffins-recipe-11733378,5,1,2,0,2,0,48.627,14.762,398.7035239372735,8.199221089873392,1,0.0,4,0,0,2,1,0.0,0.0,0.0,35,23,12,0,0,0,0,35,0,1.0,22,12,35,15,25,7,3,0,10,7,2,35,5,3
30,https://www.seriouseats.com/carrot-harissa-rissotto-11731297,5,1,2,0,2,0,46.645,14.149,433.7262961822813,9.298452056646614,1,0.0,4,0,0,2,1,0.0,0.0,0.0,46,29,17,0,0,0,0,46,0,1.0,27,17,46,20,35,8,3,0,8,18,4,46,8,14
31,https://www.tasteofhome.com/recipes/dubai-chocolate-latte/,7,1,2,0,3,1,102.347,31.371,611.9872091129463,5.979532464194811,2,0.6730116670092565,3,0,0,3,1,1.0,0.0,0.0,12,4,8,0,0,0,0,12,0,1.0,9,8,12,2,10,0,2,0,3,2,2,12,2,7
32,https://www.tasteofhome.com/collection/bacon-breakfast-recipes/,3,1,0,0,1,1,38.937,0.0,0.0,0.0,1,0.0,1,0,0,1,0,1.0,0.0,0.0,70,32,38,0,0,0,0,70,0,1.0,29,38,70,24,63,4,2,1,8,20,10,70,6,21
33,https://openai.com/,2,1,0,0,0,1,34.83,0.0,0.0,0.0,0,0.0,0,0,0,1,0,0.0,1.0,0.0,9,0,9,0,0,0,0,9,0,1.0,4,9,9,0,9,0,0,0,1,0,0,9,2,9
34,https://www.wikipedia.org/,7,1,3,0,3,0,75.613,16.7995,694.029726768224,9.17870904167569,2,0.6931471805599453,3,0,0,4,1,0.0,0.0,0.0,2,0,2,0,0,0,0,2,0,1.0,1,2,2,0,2,0,0,0,0,0,2,2,0,2
35,https://www.bbc.com/,7,1,2,0,3,1,64.529,12.473,1206.5353275690995,18.697567412622227,2,0.5004024235381879,4,0,0,2,1,1.0,0.0,0.0,31,14,17,0,0,0,0,31,0,1.0,12,17,31,9,30,1,0,0,16,4,3,31,3,6
36,https://www.kawalingpinoy.com/chayote-and-egg-stir-fry/,6,1,2,1,2,0,53.855,16.382,450.0773862691095,8.357207060980587,2,0.5623351446188083,3,0,0,1,0,0.0,0.0,0.0,35,29,6,0,0,0,0,35,0,1.0,11,6,35,22,33,1,1,0,10,3,13,35,5,5
37,https://www.kawalingpinoy.com/chop-suey/,9,1,3,2,3,0,71.51,17.308,451.18363877038325,6.309378251578566,2,0.4505612088663046,5,0,0,2,1,0.0,0.0,0.0,51,17,34,0,0,0,0,51,0,1.0,25,34,51,14,46,3,2,0,18,8,10,51,7,19
38,https://www.kawalingpinoy.com/category/meat-and-poultry/,3,1,1,0,1,0,35.433,0.0,0.0,0.0,1,0.0,2,0,0,1,0,0.0,0.0,0.0,24,8,16,0,0,0,0,24,0,1.0,15,16,24,7,24,0,0,0,14,3,3,24,3,4
39,https://www.kawalingpinoy.com/grilled-shrimp-mango-and-avocado-salad/,8,1,2,1,3,1,85.413,20.771,1890.9910687837728,22.139382398273955,2,0.5004024235381879,4,0,0,3,1,1.0,0.0,0.0,17,9,8,0,0,0,0,17,0,1.0,6,8,17,6,15,1,1,0,2,8,3,17,4,7
40,https://www.kawalingpinoy.com/bistek/,3,1,1,0,1,0,35.712,0.0,0.0,0.0,1,0.0,2,0,0,1,0,0.0,0.0,0.0,24,21,3,0,0,0,0,24,0,1.0,9,3,24,19,21,2,1,0,7,1,12,24,2,1
41,https://www.kawalingpinoy.com/beef-caldereta/,8,1,1,1,3,2,62.498,0.0,1342.7707565274914,21.485019625067864,1,0.0,4,0,0,1,0,2.0,0.0,0.0,54,23,31,0,0,0,0,54,0,1.0,22,31,54,18,51,3,0,0,16,19,7,54,5,15
42,https://www.kawalingpinoy.com/kutsinta/,7,1,2,2,2,0,57.241,14.193,433.72560349548894,7.577184247226445,2,0.6931471805599453,2,2,0,1,0,0.0,0.0,0.0,42,28,14,0,0,0,0,42,0,1.0,12,14,42,23,39,3,0,0,18,0,15,42,2,2
43,https://www.kawalingpinoy.com/mango-and-cream-cheese-turon/,7,1,3,0,3,0,72.127,16.989,1577.7138321376328,21.87410861588078,1,0.0,6,0,0,3,1,0.0,0.0,0.0,39,24,15,0,0,0,0,39,0,1.0,20,15,39,19,37,2,0,0,16,0,12,39,1,2
44,https://www.kawalingpinoy.com/maja-jubilee/,10,1,3,3,3,0,69.801,14.9055,1332.624716388724,19.091771126326613,3,0.8675632284814612,4,0,1,1,0,0.0,0.0,0.0,38,13,25,0,0,0,0,38,0,1.0,18,25,38,11,31,6,1,0,7,3,8,38,5,20
45,https://www.kawalingpinoy.com/pinaupong-manok/,3,1,1,0,1,0,37.81,0.0,0.0,0.0,1,0.0,2,0,0,1,0,0.0,0.0,0.0,11,6,5,0,0,0,0,11,0,1.0,5,5,11,5,11,0,0,0,3,1,3,11,3,4
46,https://www.recipetineats.com/crispy-oven-baked-quesadillas/,7,1,0,0,3,3,56.644,0.0,544.6515146382872,9.615343454528055,1,0.0,3,0,0,1,0,3.0,0.0,0.0,58,33,25,0,0,0,0,58,0,1.0,23,25,58,7,35,23,0,0,18,22,3,58,4,25
47,https://www.recipetineats.com/puttanesca-fish-tray-bake/,6,1,0,0,2,3,175.123,0.0,142.00352108310554,0.8108787599750207,1,0.0,2,0,0,2,1,2.0,0.0,1.0,47,31,16,0,0,0,0,47,0,1.0,14,16,47,7,26,21,0,0,12,19,5,47,4,14
48,https://www.recipetineats.com/one-pot-chicken-risoni-with-crispy-salami/,5,1,0,0,2,2,51.493,0.0,363.522007586886,7.059639321594896,1,0.0,2,0,0,1,0,2.0,0.0,0.0,98,47,51,0,0,0,0,98,0,1.0,29,51,98,21,76,22,0,0,48,19,5,98,3,9
49,https://www.recipetineats.com/category/no-cook-food/,7,1,0,0,3,3,53.772,0.0,421.492295879591,7.838508812757402,2,0.6365141682948128,2,0,1,1,0,3.0,0.0,0.0,15,13,2,0,0,0,0,15,0,1.0,9,2,15,7,13,2,0,0,9,0,3,15,2,2
50,https://www.recipetineats.com/carbonara/,5,1,0,0,2,2,51.062,0.0,203.0744937209004,3.9770180118463903,2,0.6931471805599453,1,1,0,1,0,2.0,0.0,0.0,75,46,29,0,0,0,0,75,0,1.0,22,29,75,17,50,25,0,0,28,22,5,75,3,9
51,https://www.recipetineats.com/canned-tuna-pasta/,3,1,0,0,1,1,38.374,0.0,0.0,0.0,1,0.0,1,0,0,1,0,1.0,0.0,0.0,62,42,20,0,0,0,0,62,0,1.0,16,20,62,16,37,24,1,0,20,22,9,62,5,16
